ortholog/paralog1,paralog2,ortholog,score
K7ILS8,no,A0A087ZS70,473.0
K7ILS9,no,A0A087ZUZ9,433.5
K7ILT0,no,A0A087ZV00,297.0
K7ILT1,no,A0A088ANW4,725.0
K7ILT2,no,A0A088ANW7,1053.5
K7ILT6,no,A0A087ZUV3,122.0
K7ILT9,no,A0A088AQC7,735.0
K7ILU0,no,A0A087ZTR2,482.0
K7ILU1,no,A0A088AAA4,196.0
K7ILU3,no,A0A088A137,643.0
K7ILU4,no,A0A088AEF9,1929.5
K7ILU5,no,A0A088A3M5,1081.0
K7ILU6,no,A0A088A3I6,124.0
K7ILU7,no,A0A088AAQ4,507.0
K7ILU8,no,A0A088A0M1,721.0
K7ILU9,no,A0A088A0P2,602.0
K7ILV1,no,A0A088A7U3,293.0
K7ILV2,no,A0A088A7Z0,7830.5
K7ILV3,no,A0A088A7Y9,330.5
K7ILV4,no,A0A088ANK9,989.0
K7ILV5,no,A0A088AHM7,912.0
K7ILV9,no,A0A087ZYB7,1490.0
K7ILW0,no,A0A087ZY68,221.0
K7ILW2,no,A0A087ZYB8,838.0
K7ILW5,no,A0A088ASY1,713.5
K7ILW6,no,A0A087ZYA0,1489.0
K7ILW7,no,A0A088AF53,184.5
K7ILW8,no,A0A087ZY84,969.5
K7ILW9,no,A0A088AKC2,1185.5
K7ILX0,no,A0A088AKC4,865.0
K7ILX1,no,A0A088AKG8,279.0
K7ILX2,no,A0A088AD48,124.0
K7ILX3,no,A0A088AD49,263.5
K7ILX5,no,A0A088AD50,276.5
K7ILX7,no,A0A088AD22,593.0
K7ILX8,no,A0A088APS0,441.0
K7ILX9,no,A0A088AD16,320.5
K7ILY0,no,A0A088APR0,639.5
K7ILY1,no,A0A087ZU55,434.0
K7ILY2,no,A0A087ZU54,192.0
K7ILY3,no,A0A088APR8,228.5
K7ILY4,no,A0A088APR9,211.0
K7ILY5,no,A0A088APQ1,1534.5
K7ILY6,no,A0A088AIZ1,498.0
K7ILY7,no,A0A088AJ12,1718.0
K7ILZ1,no,A0A088AMM7,318.0
K7ILZ2,no,A0A088A7Z2,330.0
K7ILZ4,no,A0A088APQ0,872.0
K7ILZ5,no,A0A088A272,736.0
K7ILZ6,no,A0A088A579,697.5
K7ILZ7,no,A0A088AHM3,329.0
K7ILZ8,no,A0A088A207,445.5
K7ILZ9,no,A0A087ZNI5,379.0
K7IM02,no,A0A088ALQ3,233.5
K7IM03,no,A0A088AD36,476.0
K7IM04,no,A0A088AD28,1020.5
K7IM06,no,A0A088A1Q1,849.0
K7IM07,no,A0A088ARC1,419.0
K7IM09,no,A0A088AJM1,182.0
K7IM10,no,A0A088AJG1,348.0
K7IM11,no,A0A088A9X5,738.0
K7IM12,no,A0A088A6L7,1186.0
K7IM13,no,A0A088A6L8,846.0
K7IM14,no,A0A088AR32,894.0
K7IM16,no,A0A088AHF8,670.0
K7IM17,no,A0A088AD97,383.0
K7IM18,no,A0A088ARK3,557.5
K7IM19,no,A0A088ARE4,955.5
K7IM20,no,A0A088ARE3,415.5
K7IM21,no,A0A088ARK6,437.0
K7IM22,no,A0A088ARK7,854.5
K7IM23,no,A0A088ARE2,1647.5
K7IM24,no,A0A088AP65,125.0
K7IM25,no,A0A088ANZ5,614.0
K7IM26,no,A0A088AP68,3325.0
K7IM27,no,A0A088ANZ4,448.5
K7IM28,no,A0A088AP69,681.0
K7IM29,no,A0A088ANZ3,810.5
K7IM30,no,A0A088AP70,385.5
K7IM31,no,A0A088ANZ2,406.0
K7IM32,no,A0A088ANZ1,426.0
K7IM36,no,A0A088A7L1,582.0
K7IM37,no,A0A088A7K8,277.5
K7IM38,no,A0A088A7L2,724.0
K7IM39,no,A0A088A7L4,819.5
K7IM45,no,A0A088A1B9,646.5
K7IM46,no,A0A088A1C1,988.0
K7IM47,no,A0A088AP15,128.0
K7IM48,no,A0A087ZVK5,132.0
K7IM49,no,A0A087ZUT0,350.0
K7IM51,no,A0A087ZVK6,34.25
K7IM52,no,A0A087ZVK7,857.0
K7IM55,no,A0A087ZP04,1168.0
K7IM56,no,A0A087ZP05,379.0
K7IM57,no,A0A087ZNV7,229.5
K7IM58,no,A0A087ZNV6,632.0
K7IM59,no,A0A087ZNV5,1443.5
K7IM60,no,A0A087ZNJ9,518.5
K7IM61,no,A0A087ZNK3,252.0
K7IM62,no,A0A087ZNK4,507.0
K7IM63,no,A0A087ZNK5,290.0
K7IM64,no,A0A087ZNJ8,748.0
K7IM66,no,A0A088AEQ4,954.5
K7IM67,no,A0A087ZWA0,982.0
K7IM68,no,A0A087ZWE4,727.0
K7IM70,no,A0A088ATH8,163.0
K7IM74,no,A0A088AQ08,185.0
K7IM75,no,A0A088A779,342.5
K7IM76,no,A0A087ZSN6,867.0
K7IM78,no,A0A087ZSQ5,613.5
K7IM79,no,A0A087ZSQ4,1049.5
K7IM80,no,A0A087ZSN8,942.5
K7IM81,no,A0A087ZSQ3,863.0
K7IM82,no,A0A088A4Z7,402.0
K7IM84,no,A0A088AAB3,167.0
K7IM85,no,A0A088AAN1,1078.0
K7IM87,no,A0A087ZVA0,242.0
K7IM88,no,A0A088ADI0,371.0
K7IM89,no,A0A088A2T5,291.0
K7IM91,no,A0A088A3E7,318.0
K7IM96,no,A0A088ADE0,265.5
K7IM98,no,A0A088ADF0,674.0
K7IM99,no,A0A088ADE1,1170.0
K7IMA0,no,A0A088ADE9,574.5
K7IMA1,no,A0A088AMS9,1978.5
K7IMA4,no,A0A088AMU5,459.0
K7IMA5,no,A0A088AMS7,923.5
K7IMA6,no,A0A088ADI5,1073.5
K7IMA7,no,A0A087ZZM3,803.5
K7IMA9,no,A0A088A529,41.0
K7IMB1,no,A0A088A525,198.5
K7IMB3,no,A0A088A520,238.5
K7IMB4,no,P86905,582.0
K7IMB5,no,A0A088A4Z4,875.5
K7IMB6,no,A0A088AAL1,353.0
K7IMB7,no,A0A088AAC4,624.0
K7IMB8,no,A0A088AAL3,294.0
K7IMC3,no,A0A088AAL4,133.5
K7IMC4,no,A0A088AHG7,492.0
K7IMC5,no,A0A087ZV17,276.5
K7IMC6,no,A0A087ZVC9,606.0
K7IMC7,no,A0A088ARK0,1594.5
K7IMC8,no,A0A088ARF0,293.0
K7IMC9,no,A0A088AHM1,46.05
K7IMD0,no,A0A087ZZK6,512.5
K7IMD1,no,A0A087ZZD8,806.0
K7IMD2,no,A0A087ZZK7,919.5
K7IMD3,no,A0A087ZZL0,690.5
K7IMD4,no,A0A087ZZL1,135.5
K7IMD5,no,A0A087ZZD3,1486.0
K7IMD6,no,A0A088AKB2,1170.0
K7IMD7,no,A0A087ZQV6,561.0
K7IMD9,no,A0A087ZQV8,1280.5
K7IME2,no,A0A088ADU5,213.0
K7IME3,no,A0A088AQQ1,541.0
K7IME4,no,A0A087ZY48,581.0
K7IME5,no,A0A087ZPC4,239.5
K7IME6,no,A0A087ZNH8,778.5
K7IME7,no,A0A088AQ71,1147.0
K7IME8,no,A0A088ANS8,372.5
K7IME9,no,A0A088ANS7,1595.5
K7IMF0,no,A0A088AD52,825.0
K7IMF1,no,A0A088AD15,3976.5
K7IMF2,no,A0A087ZVI4,1993.5
K7IMF3,no,A0A088AD47,366.0
K7IMF5,no,A0A087ZU88,1504.0
K7IMF6,no,A0A088A7V1,682.0
K7IMF7,no,A0A088AQL5,662.0
K7IMF8,no,A0A088AQM9,379.5
K7IMF9,no,Q6QHT2,909.0
K7IMG0,no,A0A087ZVG8,758.0
K7IMG1,no,A0A087ZUX1,271.0
K7IMG2,no,A0A087ZUW9,160.0
K7IMG3,no,A0A087ZUW6,156.0
K7IMG4,no,A0A088AJS7,883.0
K7IMG5,no,A0A088AQ73,826.5
K7IMG6,no,A0A088AQ63,247.0
K7IMG7,no,A0A088AQ74,1355.0
K7IMG8,no,A0A088ACQ6,1966.0
K7IMG9,no,A0A088ACQ5,509.0
K7IMH0,no,A0A088A1P9,172.0
K7IMH1,no,A0A088A1B8,1253.0
K7IMH2,no,A0A087ZW89,292.0
K7IMH3,no,A0A087ZXL4,343.5
K7IMH4,no,A0A088ADA0,650.0
K7IMH5,no,A0A088AD98,337.0
K7IMH6,no,A0A088ALA0,712.0
K7IMH7,no,A0A088AFB1,686.5
K7IMH9,no,A0A088AF37,291.0
K7IMI0,no,A0A088ALZ8,560.5
K7IMI1,no,A0A088AHQ7,791.5
K7IMI2,no,A0A088AHQ8,2405.5
K7IMI3,no,A0A088AU53,102.5
K7IMI4,no,A0A088APQ5,2313.5
K7IMI5,no,A0A088AU83,496.0
K7IMI6,no,A0A088AU82,981.0
K7IMI8,no,A0A088A0P1,773.0
K7IMI9,no,A0A088A0P0,919.0
K7IMJ0,no,A0A088ALS1,513.0
K7IMJ1,no,A0A087ZQ41,2186.0
K7IMJ2,no,A0A087ZPH5,570.5
K7IMJ3,no,A0A088A2P2,136.0
K7IMJ4,no,A0A088AEE2,246.5
K7IMJ6,no,A0A088APQ2,857.0
K7IMJ7,no,A0A088APQ8,310.5
K7IMJ8,no,A0A088APQ9,1240.5
K7IMJ9,no,A0A088AD45,1028.5
K7IMK0,no,A0A088AD20,238.0
K7IMK1,no,A0A088AD19,438.0
K7IMK2,no,A0A088AU44,360.0
K7IMK4,no,A0A088ATW4,731.0
K7IMK5,no,A0A087ZZD2,371.5
K7IMK6,no,A0A088A8A7,376.0
K7IMK7,no,A0A088AU72,635.0
K7IMK8,no,A0A088AU73,541.0
K7IMK9,no,A0A088AUB3,229.0
K7IML0,no,A0A088AU77,939.0
K7IML1,no,A0A088AU78,365.5
K7IML2,no,A0A088AUB0,318.5
K7IML4,no,A0A088ASA1,1384.0
K7IML5,no,A0A088AS45,1174.5
K7IML6,no,A0A087ZZX8,628.0
K7IML7,no,A0A088AGZ3,514.0
K7IML8,no,A0A088AH31,420.0
K7IML9,no,A0A087ZU18,319.0
K7IMM1,no,A0A087ZTZ4,881.5
K7IMM5,no,A0A087ZU23,289.0
K7IMM9,no,A0A087ZU27,235.0
K7IMN0,no,A0A087ZTY8,435.5
K7IMN2,no,A0A088AFF9,144.0
K7IMN3,no,A0A088AJM8,452.5
K7IMN5,no,A0A087ZSQ0,1016.0
K7IMN6,no,A0A087ZSP9,1736.5
K7IMN7,no,A0A087ZSP6,1051.0
K7IMN8,no,A0A087ZSN9,810.0
K7IMN9,no,A0A087ZSP5,1670.0
K7IMP2,no,A0A087ZP18,577.5
K7IMP3,no,A0A087ZNU8,375.0
K7IMP6,no,A0A087ZP19,473.5
K7IMP7,no,A0A087ZNU6,601.5
K7IMP9,no,A0A087ZNU3,1360.5
K7IMQ0,no,A0A088A9R3,718.5
K7IMQ1,no,A0A088AM23,115.5
K7IMQ2,no,A0A088ATI2,500.5
K7IMQ3,no,A0A087ZSR9,394.0
K7IMQ4,no,A0A088A4A4,569.0
K7IMQ5,no,A0A088A4E0,724.0
K7IMQ6,no,A0A087ZR19,473.5
K7IMQ7,no,A0A087ZR40,659.0
K7IMQ9,no,A0A088A8F0,776.0
K7IMR5,no,A0A087ZUJ4,282.0
K7IMR7,no,A0A088ASJ4,473.0
K7IMR8,no,A0A087ZWY9,205.0
K7IMR9,no,A0A088ARR5,232.5
K7IMS0,no,A0A087ZS85,1276.5
K7IMS2,no,A0A087ZS87,709.0
K7IMS3,no,A0A087ZS86,132.0
K7IMS4,no,A0A088ABW0,800.0
K7IMS6,no,A0A088AM61,790.0
K7IMS7,no,A0A088A8W6,384.5
K7IMS8,no,A0A088AM74,392.5
K7IMS9,no,A0A087ZZJ6,620.0
K7IMT0,no,A0A087ZZE6,452.0
K7IMT1,no,A0A088ATC6,724.0
K7IMT2,no,A0A087ZXL7,177.0
K7IMT8,no,A0A087ZS84,272.5
K7IMU0,no,A0A088A3G4,506.5
K7IMU1,no,A0A088ASN7,983.0
K7IMU2,no,A0A087ZYS4,315.0
K7IMU3,no,A0A088AFJ5,597.5
K7IMU4,no,A0A088ABP6,802.0
K7IMU5,no,A0A088AFJ4,794.0
K7IMU8,no,A0A088AK74,535.0
K7IMV0,no,A0A087ZR63,467.5
K7IMV1,no,A0A087ZT04,325.0
K7IMV2,no,A0A087ZT03,312.0
K7IMV3,no,A0A088AGM5,388.0
K7IMV6,no,A0A087ZR35,993.5
K7IMV7,no,A0A087ZR22,337.0
K7IMV8,no,A0A087ZR36,355.0
K7IMV9,no,A0A088AK76,6106.0
K7IMW0,no,A0A0B4J2M7,244.0
K7IMW1,no,A0A088AER6,616.5
K7IMW3,no,A0A088ASJ7,388.5
K7IMW4,no,A0A088ASL8,1234.0
K7IMW5,no,A0A087ZQ48,363.0
K7IMW7,no,A0A087ZU87,407.5
K7IMW8,no,A0A088AIQ1,813.0
K7IMW9,no,A0A088AET3,332.0
K7IMX0,no,A0A088AET0,744.0
K7IMX1,no,A0A087ZQ49,512.0
K7IMX2,no,A0A088ALM1,622.0
K7IMX3,no,A0A088ALH1,363.5
K7IMX4,no,A0A088ALG8,117.0
K7IMX5,no,A0A088AJX4,272.0
K7IMX6,no,Q15KK9,417.0
K7IMX8,no,A0A087ZXF9,435.0
K7IMX9,no,A0A087ZXK4,233.0
K7IMY0,no,A0A087ZXK3,1428.0
K7IMY2,no,A0A087ZXK2,768.0
K7IMY3,no,A0A087ZXJ9,224.5
K7IMY4,no,A0A087ZXJ6,2984.0
K7IMY5,no,A0A087ZXH6,530.0
K7IMY8,no,A0A087ZXI7,1173.0
K7IMY9,no,A0A088AC84,397.0
K7IMZ0,no,A0A088AC67,374.0
K7IMZ1,no,A0A088AC66,486.5
K7IMZ2,no,A0A087ZZJ5,562.0
K7IMZ4,no,A0A088A2Q3,1035.5
K7IMZ5,no,A0A088ABM2,895.0
K7IMZ6,no,A0A088A2Q4,601.0
K7IMZ7,no,A0A088A2Q5,586.0
K7IMZ8,no,A0A088ATX0,272.5
K7IN00,no,A0A088AU41,197.0
K7IN02,no,A0A088AU37,1765.0
K7IN04,no,A0A088A3K9,935.0
K7IN05,no,A0A088A3L0,434.0
K7IN06,no,A0A088A3K8,493.5
K7IN07,no,A0A088A3L1,461.5
K7IN08,no,A0A088A3L2,570.0
K7IN09,no,A0A088A3K7,596.0
K7IN10,no,A0A088ATL8,297.5
K7IN11,no,A0A088A3L6,268.0
K7IN15,no,A0A088A8H7,358.0
K7IN16,no,A0A088A8Q4,1021.0
K7IN17,no,A0A088AAQ6,135.0
K7IN18,no,A0A088AAP3,306.0
K7IN19,no,A0A088ADA5,2526.5
K7IN20,no,A0A088A8J8,453.0
K7IN21,no,A0A088AFM5,313.0
K7IN22,no,O61303,630.5
K7IN23,no,A0A088AIM0,48.95
K7IN25,no,A0A088AW41,327.0
K7IN29,no,A0A088ATR6,967.0
K7IN30,no,A0A088ATP4,827.0
K7IN33,no,A0A088ATR8,231.0
K7IN34,no,A0A088ATP1,548.0
K7IN35,no,A0A088ATS0,275.0
K7IN36,no,A0A088AGJ5,1401.5
K7IN37,no,A0A088AGJ4,531.0
K7IN38,no,A0A088AGJ6,328.0
K7IN40,no,A0A088AH46,352.0
K7IN41,no,A0A088A4V0,249.0
K7IN42,no,A0A088A4U9,91.1
K7IN43,no,A0A088AH48,771.0
K7IN44,no,A0A087ZX37,90.5
K7IN46,no,A0A088A9Z0,2480.0
K7IN47,no,A0A088AQJ5,420.0
K7IN49,no,A0A087ZW50,436.0
K7IN50,no,A0A087ZW48,278.5
K7IN51,no,A0A087ZWJ3,96.7
K7IN52,no,A0A087ZWJ4,512.0
K7IN53,no,A0A087ZW47,867.0
K7IN55,no,A0A088AQC9,1109.0
K7IN56,no,A0A088AQE0,1151.0
K7IN57,no,A0A088AUU2,829.5
K7IN59,no,A0A088AIS7,364.5
K7IN60,no,A0A088A003,190.0
K7IN65,no,A0A088A001,289.5
K7IN71,no,A0A087ZZG1,451.0
K7IN72,no,A0A087ZZH9,1469.0
K7IN73,no,A0A087ZZG3,1065.5
K7IN74,no,A0A088AEW1,808.5
K7IN75,no,A0A088AFI2,711.0
K7IN76,no,A0A088AFI1,131.0
K7IN78,no,A0A088A3M0,680.0
K7IN79,no,A0A087ZNQ4,615.5
K7IN80,no,A0A087ZR09,1216.0
K7IN81,no,A0A088A3J4,722.0
K7IN82,no,A0A088A3M1,773.0
K7IN83,no,A0A088AGY8,851.0
K7IN84,no,A0A088ASJ9,894.0
K7IN85,no,A0A088A337,578.0
K7IN86,no,A0A087ZXF0,852.5
K7IN87,no,A0A087ZQW6,786.5
K7IN88,no,A0A087ZQU8,380.5
K7IN89,no,A0A087ZQI7,429.5
K7IN90,no,A0A088AEQ5,224.0
K7IN91,no,A0A088ASL5,322.0
K7IN92,no,A0A087ZQN3,107.0
K7IN93,no,A0A088ASM4,488.5
K7IN94,no,A0A087ZQI6,520.5
K7IN95,no,A0A088A7W1,1162.5
K7IN96,no,A0A087ZNL5,861.0
K7IN97,no,A0A087ZXY1,211.5
K7IN98,no,A0A087ZTT4,275.0
K7IN99,no,A0A087ZTT5,614.0
K7INA0,no,A0A088AAF9,588.0
K7INA1,no,A0A088A0L7,310.0
K7INA2,no,A0A088A0P3,389.5
K7INA3,no,A0A088A0L6,448.0
K7INA4,no,A0A087ZV33,421.0
K7INA5,no,A0A088ALQ4,332.0
K7INA7,no,A0A088A8K2,58.2
K7INA8,no,A0A088A8M5,360.0
K7INA9,no,A0A088AS83,2344.5
K7INB0,no,A0A088AS80,1420.5
K7INB1,no,A0A088AA91,356.5
K7INB2,no,A0A088AA92,280.5
K7INB3,no,A0A088ATC8,1154.0
K7INB4,no,A0A088AE91,875.0
K7INB5,no,A0A088AFU5,410.0
K7INB6,no,A0A088A892,869.5
K7INB7,no,A0A087ZR88,147.0
K7INB9,no,A0A088AEA3,350.0
K7INC0,no,A0A088AE88,207.0
K7INC2,no,A0A088AUH5,241.0
K7INC3,no,A0A088A2S4,859.5
K7INC4,no,A0A088AE87,286.0
K7INC5,no,A0A088AEA8,229.0
K7INC6,no,A0A088A734,647.0
K7INC7,no,A0A088A0Q0,215.0
K7INC8,no,A0A088AIR0,136.5
K7INC9,no,A0A088ATD9,75.9
K7IND0,no,A0A087ZX96,147.5
K7IND1,no,A0A088A0M3,845.5
K7IND3,no,A0A088A9C2,906.0
K7IND4,no,A0A087ZSC9,501.0
K7IND5,no,A0A087ZS50,664.0
K7IND8,no,A0A087ZWR8,326.5
K7IND9,no,A0A087ZWN2,1084.0
K7INE0,no,A0A088AFL1,1080.0
K7INE1,no,A0A088AES0,264.0
K7INE2,no,A0A088AFL2,639.0
K7INE4,no,A0A087ZUB4,2219.0
K7INE5,no,A0A087ZUG8,1525.0
K7INE6,no,A0A088AMA7,562.0
K7INE7,no,A0A088AMD8,609.0
K7INE8,no,A0A088AMF7,1945.5
K7INE9,no,A0A088AMF3,759.5
K7INF0,no,A0A088ATG0,1047.5
K7INF1,no,A0A088ATF9,786.0
K7INF2,no,A0A088ATF8,252.0
K7INF3,no,A0A088ATF7,260.5
K7INF4,no,A0A088ATC4,401.0
K7INF5,no,A0A087ZMT9,294.5
K7INF6,no,A0A087ZMS4,945.0
K7INF7,no,A0A087ZMS2,544.0
K7INF8,no,A0A088A1T6,244.0
K7ING0,no,A0A088A183,549.0
K7ING1,no,A0A088AM92,1223.5
K7ING2,no,A0A088AME9,713.0
K7ING3,no,A0A087ZSE6,543.0
K7ING5,no,A0A088AMA0,541.5
K7ING6,no,A0A088AM99,739.0
K7ING7,no,A0A088AME8,353.0
K7ING8,no,A0A087ZSE7,82.0
K7ING9,no,A0A087ZS29,954.5
K7INH2,no,A0A088AQ77,1234.0
K7INH3,no,A0A088ADC2,198.0
K7INH6,no,A0A088AGT3,1477.5
K7INH7,no,A0A088AGM4,2193.0
K7INH8,no,A0A088AGM9,1122.0
K7INH9,no,A0A088AGM7,977.5
K7INI0,no,A0A088ANX4,267.5
K7INI1,no,A0A087ZN29,497.0
K7INI2,no,A0A087ZMZ3,794.0
K7INI3,no,A0A087ZN31,671.0
K7INI4,no,A0A087ZN33,436.0
K7INI5,no,A0A087ZNG2,431.5
K7INI6,no,A0A087ZNG8,658.0
K7INI7,no,A0A087ZNG9,433.0
K7INI9,no,A0A087ZNF7,260.0
K7INJ0,no,A0A087ZNH0,792.0
K7INJ1,no,A0A087ZWL2,549.0
K7INJ2,no,A0A087ZWL4,443.0
K7INJ3,no,A0A087ZWM2,809.0
K7INJ4,no,A0A088A1A6,2135.0
K7INJ5,no,A0A088A1A9,812.5
K7INJ6,no,A0A088AU88,433.5
K7INJ8,no,A0A088A7L7,674.0
K7INJ9,no,A0A088A7K7,190.0
K7INK1,no,A0A088AIZ6,318.0
K7INK2,no,A0A087ZWC4,185.0
K7INK4,no,A0A088A1R1,242.5
K7INK5,no,A0A087ZWM1,620.0
K7INK7,no,A0A087ZWL6,711.0
K7INK8,no,A0A087ZWM0,805.0
K7INK9,no,A0A087ZWL7,1228.5
K7INL0,no,A0A087ZPC7,772.0
K7INL1,no,A0A087ZPM9,970.5
K7INL2,no,A0A088A929,1346.0
K7INL4,no,A0A087ZQT6,123.5
K7INL5,no,A0A087ZQX6,179.0
K7INL6,no,A0A088AGN9,1130.0
K7INL8,no,A0A087ZN27,142.0
K7INL9,no,A0A088ATB3,639.5
K7INM0,no,A0A088ATG7,1203.5
K7INM1,no,A0A088A628,389.0
K7INM3,no,A0A088AGT2,768.0
K7INM4,no,A0A088ATA9,436.5
K7INM5,no,A0A088ATA7,288.0
K7INM6,no,A0A088ATH1,2062.5
K7INM7,no,A0A088ATH2,437.0
K7INM8,no,A0A088A181,694.5
K7INM9,no,A0A088A180,319.0
K7INN0,no,A0A088A179,1156.5
K7INN1,no,A0A088A204,338.0
K7INN2,no,A0A088A108,365.5
K7INN3,no,A0A088A821,642.0
K7INN5,no,A0A088A7R1,1120.5
K7INN6,no,A0A088A822,1302.5
K7INN7,no,A0A088A7Q7,833.5
K7INN8,no,A0A088A7S6,289.5
K7INP0,no,A0A088AS55,524.5
K7INP1,no,A0A088AS87,521.0
K7INP3,no,A0A088AS56,3384.5
K7INP4,no,A0A088ATE7,764.0
K7INP5,no,A0A088AEP5,222.5
K7INP6,no,A0A088A104,2270.0
K7INP8,no,A0A088A103,567.0
K7INP9,no,A0A088A211,1353.0
K7INQ0,no,A0A088A212,645.0
K7INQ3,no,A0A088A215,1843.0
K7INQ4,no,A0A088AAD6,417.0
K7INQ5,no,A0A087ZV34,645.0
K7INQ6,no,A0A087ZVB1,218.0
K7INQ7,no,A0A087ZVA9,251.5
K7INQ9,no,A0A088AP76,576.5
K7INR0,no,A0A088ANX9,728.0
K7INR1,no,A0A088ANZ0,1212.0
K7INR2,no,A0A088AP72,323.0
K7INR3,no,A0A088AGB2,140.0
K7INR4,no,A0A088AGH7,550.5
K7INR6,no,A0A088AGB4,307.5
K7INR7,no,A0A088AGH6,527.0
K7INR9,no,A0A088AGB6,46.6
K7INS0,no,A0A088A4I9,560.5
K7INS2,no,A0A088A4I4,89.69999999999999
K7INS3,no,A0A088A4I8,541.0
K7INS4,no,A0A088A6W5,914.0
K7INS5,no,A0A088A6W8,684.0
K7INS6,no,A0A088A6W9,1051.0
K7INS7,no,A0A088A6X0,167.0
K7INS8,no,A0A088A6X4,196.0
K7INS9,no,A0A088ANS0,288.0
K7INT2,no,A0A088AMT3,330.0
K7INT3,no,A0A088AHA2,1091.0
K7INT4,no,A0A088AHA1,174.0
K7INT7,no,A0A088A1L1,660.5
K7INT8,no,A0A088A0Z4,1083.5
K7INT9,no,A0A088A222,1230.0
K7INU0,no,A0A088ABJ8,2945.0
K7INU1,no,A0A088ABG5,180.5
K7INU2,no,A0A088ANY5,533.0
K7INU3,no,A0A088A8M6,698.5
K7INU4,no,A0A088ACX2,147.0
K7INU5,no,A0A088AAB1,399.5
K7INU6,no,A0A088ANY0,1036.0
K7INU7,no,A0A088A209,512.0
K7INU8,no,A0A087ZMW2,121.0
K7INU9,no,A0A087ZN67,121.4
K7INV0,no,A0A087ZN65,143.5
K7INV4,no,A0A088AGQ1,468.5
K7INV7,no,A0A088AGQ0,630.0
K7INV8,no,A0A088AGP9,299.0
K7INV9,no,A0A088AGS6,554.5
K7INW0,no,A0A088AGP8,1809.5
K7INW1,no,A0A088AGS7,575.0
K7INW2,no,A0A088AGP7,434.0
K7INW3,no,A0A088A1Z6,513.0
K7INW4,no,A0A088AGA6,359.5
K7INW6,no,A0A088ARD8,1304.0
K7INW7,no,A0A088ARK8,138.0
K7INW8,no,A0A088ANZ6,1326.5
K7INW9,no,A0A088ANZ7,4009.5
K7INX0,no,A0A088ANZ8,2987.0
K7INX1,no,A0A088AP02,575.5
K7INX3,no,A0A088AP44,527.5
K7INX5,no,A0A088AFE4,605.5
K7INX7,no,A0A088AEZ6,541.5
K7INX8,no,A0A088AFE3,658.5
K7INX9,no,A0A088AEZ8,654.0
K7INY0,no,A0A088AF20,826.0
K7INY1,no,A0A088AFC2,1159.5
K7INY3,no,A0A088AF24,341.0
